DATE,US Personal Savings Rate
1/1/1959,11.2
2/1/1959,10.6
3/1/1959,10.3
4/1/1959,11.1
5/1/1959,10.6
6/1/1959,10.5
7/1/1959,10.6
8/1/1959,9.6
9/1/1959,8.7
10/1/1959,9.4
11/1/1959,10
12/1/1959,10.9
1/1/1960,11
2/1/1960,10.6
3/1/1960,9.4
4/1/1960,8.3
5/1/1960,10.4
6/1/1960,10.4
7/1/1960,10.3
8/1/1960,10.3
9/1/1960,10
10/1/1960,9.9
11/1/1960,9.8
12/1/1960,10.4
1/1/1961,11.1
2/1/1961,11.1
3/1/1961,10.4
4/1/1961,10.6
5/1/1961,10.7
6/1/1961,11.5
7/1/1961,12
8/1/1961,11.7
9/1/1961,11.3
10/1/1961,11.6
11/1/1961,11.6
12/1/1961,11.5
1/1/1962,11.2
2/1/1962,11.7
3/1/1962,11.6
4/1/1962,11.6
5/1/1962,10.9
6/1/1962,11.5
7/1/1962,11.5
8/1/1962,11.3
9/1/1962,10.3
10/1/1962,11.1
11/1/1962,10.3
12/1/1962,10.2
1/1/1963,10.9
2/1/1963,10.6
3/1/1963,10.5
4/1/1963,10.6
5/1/1963,10.8
6/1/1963,10.4
7/1/1963,10
8/1/1963,10.1
9/1/1963,10.9
10/1/1963,11.4
11/1/1963,10.9
12/1/1963,10.6
1/1/1964,10.7
2/1/1964,10.3
3/1/1964,12
4/1/1964,12.3
5/1/1964,11.6
6/1/1964,11.4
7/1/1964,11
8/1/1964,11
9/1/1964,11.7
10/1/1964,11.1
11/1/1964,12.4
12/1/1964,12.4
1/1/1965,12
2/1/1965,10.6
3/1/1965,10.6
4/1/1965,10.1
5/1/1965,11.1
6/1/1965,11.9
7/1/1965,11.8
8/1/1965,11.6
9/1/1965,12.5
10/1/1965,10.8
11/1/1965,11.5
12/1/1965,11.6
1/1/1966,11.2
2/1/1966,10.9
3/1/1966,10.5
4/1/1966,10.2
5/1/1966,11.1
6/1/1966,11.3
7/1/1966,10.8
8/1/1966,11.1
9/1/1966,10.8
10/1/1966,11.5
11/1/1966,11.7
12/1/1966,11.5
1/1/1967,12
2/1/1967,12.4
3/1/1967,12.6
4/1/1967,11.7
5/1/1967,11.9
6/1/1967,11.7
7/1/1967,12.5
8/1/1967,12.5
9/1/1967,11.7
10/1/1967,12.5
11/1/1967,12.5
12/1/1967,12.1
1/1/1968,11.7
2/1/1968,12.2
3/1/1968,11.6
4/1/1968,12.2
5/1/1968,12
6/1/1968,11.6
7/1/1968,10.6
8/1/1968,10.4
9/1/1968,10.4
10/1/1968,10.6
11/1/1968,10.4
12/1/1968,10.9
1/1/1969,10
2/1/1969,9.4
3/1/1969,9.9
4/1/1969,9.5
5/1/1969,10
6/1/1969,10.9
7/1/1969,11.7
8/1/1969,11.5
9/1/1969,11.5
10/1/1969,11.3
11/1/1969,11.5
12/1/1969,11.7
1/1/1970,11.7
2/1/1970,11.6
3/1/1970,12.3
4/1/1970,13.3
5/1/1970,12.3
6/1/1970,11.7
7/1/1970,13.2
8/1/1970,13.1
9/1/1970,12.9
10/1/1970,13
11/1/1970,13.3
12/1/1970,12.9
1/1/1971,13.1
2/1/1971,13.1
3/1/1971,13.3
4/1/1971,13
5/1/1971,13.4
6/1/1971,14.4
7/1/1971,13.6
8/1/1971,13.6
9/1/1971,12.9
10/1/1971,13
11/1/1971,12.8
12/1/1971,12.9
1/1/1972,12.4
2/1/1972,12.6
3/1/1972,11.5
4/1/1972,11.3
5/1/1972,11.5
6/1/1972,11.4
7/1/1972,11.4
8/1/1972,11.8
9/1/1972,12
10/1/1972,12.7
11/1/1972,13.4
12/1/1972,13.4
1/1/1973,12.1
2/1/1973,12.2
3/1/1973,12.4
4/1/1973,12.8
5/1/1973,12.8
6/1/1973,13.2
7/1/1973,12.8
8/1/1973,13.6
9/1/1973,12.8
10/1/1973,14
11/1/1973,14
12/1/1973,14.4
1/1/1974,14
2/1/1974,13.8
3/1/1974,13
4/1/1974,12.7
5/1/1974,12.3
6/1/1974,12.5
7/1/1974,12.7
8/1/1974,11.6
9/1/1974,12.3
10/1/1974,13
11/1/1974,13.4
12/1/1974,13.6
1/1/1975,12.8
2/1/1975,12.1
3/1/1975,12.3
4/1/1975,13.9
5/1/1975,17
6/1/1975,13.9
7/1/1975,12.3
8/1/1975,12.6
9/1/1975,12.6
10/1/1975,13
11/1/1975,12.3
12/1/1975,11.5
1/1/1976,11.3
2/1/1976,11.9
3/1/1976,11.8
4/1/1976,11.2
5/1/1976,11.8
6/1/1976,10.9
7/1/1976,11.2
8/1/1976,11.2
9/1/1976,10.8
10/1/1976,10.6
11/1/1976,10.9
12/1/1976,9.9
1/1/1977,9.8
2/1/1977,8.5
3/1/1977,9.8
4/1/1977,9.9
5/1/1977,9.8
6/1/1977,10.2
7/1/1977,10.1
8/1/1977,10.5
9/1/1977,10.7
10/1/1977,10.7
11/1/1977,10.8
12/1/1977,11
1/1/1978,11.4
2/1/1978,10.7
3/1/1978,10.5
4/1/1978,10.3
5/1/1978,9.8
6/1/1978,9.5
7/1/1978,10.3
8/1/1978,9.9
9/1/1978,10
10/1/1978,10.2
11/1/1978,10
12/1/1978,10
1/1/1979,10.6
2/1/1979,10.5
3/1/1979,10.7
4/1/1979,10.4
5/1/1979,9.8
6/1/1979,9.3
7/1/1979,10
8/1/1979,9.2
9/1/1979,8.9
10/1/1979,9.3
11/1/1979,9.4
12/1/1979,9.8
1/1/1980,9.6
2/1/1980,9.8
3/1/1980,9.8
4/1/1980,10.5
5/1/1980,10.6
6/1/1980,10.4
7/1/1980,10.5
8/1/1980,10.6
9/1/1980,11.1
10/1/1980,11
11/1/1980,11.5
12/1/1980,11.2
1/1/1981,10.5
2/1/1981,10.4
3/1/1981,10.3
4/1/1981,10.3
5/1/1981,10.4
6/1/1981,10.2
7/1/1981,11.7
8/1/1981,11.4
9/1/1981,11.9
10/1/1981,12.5
11/1/1981,12.7
12/1/1981,12
1/1/1982,12.2
2/1/1982,11.6
3/1/1982,11.7
4/1/1982,12.4
5/1/1982,11.7
6/1/1982,11.6
7/1/1982,12
8/1/1982,11.9
9/1/1982,11.1
10/1/1982,10.7
11/1/1982,10.3
12/1/1982,10.3
1/1/1983,10.4
2/1/1983,10.5
3/1/1983,10
4/1/1983,9.6
5/1/1983,9.4
6/1/1983,8.5
7/1/1983,9
8/1/1983,8.7
9/1/1983,9
10/1/1983,9.1
11/1/1983,9.7
12/1/1983,9.5
1/1/1984,9.4
2/1/1984,11.1
3/1/1984,10.9
4/1/1984,10.9
5/1/1984,10.5
6/1/1984,10.5
7/1/1984,11
8/1/1984,11.2
9/1/1984,11.2
10/1/1984,11.2
11/1/1984,10.3
12/1/1984,10.6
1/1/1985,9.7
2/1/1985,8.5
3/1/1985,8.1
4/1/1985,9.4
5/1/1985,10.5
6/1/1985,9
7/1/1985,8.5
8/1/1985,7.5
9/1/1985,6.7
10/1/1985,8.5
11/1/1985,8.4
12/1/1985,8
1/1/1986,8
2/1/1986,8.7
3/1/1986,9.3
4/1/1986,9.1
5/1/1986,8.6
6/1/1986,8.8
7/1/1986,8.7
8/1/1986,8.4
9/1/1986,6.6
10/1/1986,7.8
11/1/1986,8.2
12/1/1986,6.4
1/1/1987,9.1
2/1/1987,7.9
3/1/1987,7.9
4/1/1987,3.8
5/1/1987,7.5
6/1/1987,7
7/1/1987,6.8
8/1/1987,6.5
9/1/1987,7
10/1/1987,7.6
11/1/1987,7.9
12/1/1987,8
1/1/1988,7.5
2/1/1988,7.9
3/1/1988,7.5
4/1/1988,8.1
5/1/1988,7.7
6/1/1988,7.8
7/1/1988,7.9
8/1/1988,7.8
9/1/1988,8.2
10/1/1988,8
11/1/1988,7.7
12/1/1988,7.7
1/1/1989,8
2/1/1989,8.4
3/1/1989,8.9
4/1/1989,7.9
5/1/1989,7.6
6/1/1989,7.6
7/1/1989,7.7
8/1/1989,7.1
9/1/1989,7.5
10/1/1989,7.9
11/1/1989,8
12/1/1989,7.2
1/1/1990,7.4
2/1/1990,8.1
3/1/1990,7.8
4/1/1990,8.2
5/1/1990,8
6/1/1990,7.9
7/1/1990,8
8/1/1990,7.5
9/1/1990,7.5
10/1/1990,7.3
11/1/1990,7.4
12/1/1990,8.2
1/1/1991,8.7
2/1/1991,8.3
3/1/1991,7.4
4/1/1991,8
5/1/1991,7.7
6/1/1991,8.2
7/1/1991,7.6
8/1/1991,7.9
9/1/1991,8.1
10/1/1991,8.6
11/1/1991,8.4
12/1/1991,9.1
1/1/1992,8.8
2/1/1992,9.2
3/1/1992,9.2
4/1/1992,9.4
5/1/1992,9.4
6/1/1992,9.5
7/1/1992,9.1
8/1/1992,9.2
9/1/1992,8.2
10/1/1992,7.4
11/1/1992,7.3
12/1/1992,9.9
1/1/1993,8.3
2/1/1993,8.4
3/1/1993,8.3
4/1/1993,8.2
5/1/1993,7.7
6/1/1993,7.2
7/1/1993,7
8/1/1993,7.1
9/1/1993,6.3
10/1/1993,5.6
11/1/1993,5.6
12/1/1993,8.4
1/1/1994,6.4
2/1/1994,5.9
3/1/1994,6.2
4/1/1994,5.8
5/1/1994,7.1
6/1/1994,6.3
7/1/1994,6.4
8/1/1994,5.9
9/1/1994,6.2
10/1/1994,6.5
11/1/1994,6.4
12/1/1994,6.5
1/1/1995,6.9
2/1/1995,7.3
3/1/1995,7
4/1/1995,6.3
5/1/1995,6.5
6/1/1995,6.1
7/1/1995,6.4
8/1/1995,6.1
9/1/1995,6.1
10/1/1995,6.5
11/1/1995,6
12/1/1995,5.5
1/1/1996,6.1
2/1/1996,6.1
3/1/1996,6
4/1/1996,5
5/1/1996,6.1
6/1/1996,6.5
7/1/1996,6.1
8/1/1996,5.9
9/1/1996,6
10/1/1996,5.8
11/1/1996,5.8
12/1/1996,5.7
1/1/1997,5.6
2/1/1997,5.7
3/1/1997,5.8
4/1/1997,5.9
5/1/1997,6.2
6/1/1997,6
7/1/1997,5.5
