"SA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Personal income (thousands of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00000","United States",85126000,76371000,65507000,50134000,47085000,53939000,60698000,69057000,74545000,68923000,73452000,79171000,97400000,125259000,152627000,163267000,168178000,179844000,192660000,211661000,209182000,233008777,262559709,280539500,297489812,300685627,322573454,346606330,366539016,376690281,400673993,418095000,436553000,464248000,487847000,522796000,564631000,612945000,656851000,720704000,791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491506000,1646968000,1851867000,2068806000,2307005000,2584340000,2767657000,2957901000,3268535000,3501927000,3712243000,3940859000,4260753000,4603969000,4890453000,5055766000,5402109000,5639780000,5930316000,6275761000,6661697000,7075132000,7588703000,7988183000,8634847000,8987890000,9150761000,9484225000,10047876000,10610320000,11381350000,11995419000,12492705000,12079444000,12459613000,13233436000,13904485000,14068960000,14811388000,15547661000,15912777000,16413550863
"01000","Alabama",842894,697154,583342,421538,435290,555997,586701,682988,733375,673513,705148,799657,1100120,1568116,1950183,2106992,2213815,2218865,2383177,2624455,2519974,2818502,3286165,3497467,3657249,3533060,3999687,4291997,4562229,4758455,5002900,5216067,5387725,5656779,6009180,6520994,7078644,7591766,8015446,8753294,9726212,10605131,11670926,12964387,14582799,16175869,18038463,20228589,22281919,25197261,27992382,30864240,34263541,36197910,38771851,42649118,45942335,48627446,51486400,55388090,60312581,64070364,67662101,72847428,76199461,80680540,85362072,89084446,93822199,99767737,103105812,108000944,111693478,114176585,119399497,128541881,136187496,144954288,152246048,157727573,155513766,161256950,166595407,170881367,172789879,178612937,185484754,189161974,194871226
"02000","Alaska*","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",391941,538059,616278,651086,631065,642722,679219,672043,675477,703237,807217,796510,829551,898047,1005576,1084869,1153897,1257384,1357276,1565315,1787169,1969284,2148358,2483103,3011981,4117266,4843292,5026243,5175727,5470056,6204950,7057192,8610173,9368256,9961459,10772149,10868683,10430514,10875485,11938954,12650093,13199663,14093288,14837766,15326225,15739275,16166525,17047974,17836325,18429969,19875476,20981151,22013624,23077755,24255862,25928163,27582437,29744447,32853999,32731783,34711427,37151409,38490699,37916014,40242478,41701086,41283275,41459811
"04000","Arizona",257224,224623,184470,136925,131705,154799,180425,204813,228989,223233,237729,252551,319401,505119,690466,664885,679273,699313,781942,927803,951113,1056623,1309095,1489845,1581777,1639837,1799680,2028630,2220164,2358531,2599848,2833481,3086456,3322188,3493419,3746979,3977948,4336766,4719704,5413703,6309880,7180112,8206023,9404333,10860099,12242125,13161612,14661840,16480188,19438384,22885921,26363186,30118690,31884829,35029874,39699293,44054015,48294793,52226134,56265019,60486975,63383028,66575466,70987974,76430689,83859970,91282721,98948614,107437212,117552632,124514127,135372547,141148475,146532203,155206313,169446981,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255696365,270258279,280120037,292108028
"05000","Arkansas",560157,416278,381638,278409,283060,341705,386004,460151,481582,439122,479153,502002,676326,973768,1051339,1236417,1324089,1372264,1358169,1611219,1512797,1624744,1848530,1921979,1935830,1914544,2080765,2156658,2226162,2319693,2532765,2557904,2781764,2973098,3149260,3418008,3606460,4006747,4249157,4595196,5129597,5635770,6273038,7082421,8381299,9361505,10317199,11388677,12666674,14682928,16089892,17371177,19657239,20676166,21988073,24474975,26082631,27399821,28476005,30546100,32776869,34487482,36434402,39744696,41722523,44297617,47104707,50012919,52409055,55647128,57896065,61029036,64205009,65583321,69393101,73711023,77736622,82701324,88227922,92390681,90880167,92913782,99296630,106664517,106466207,112682792,116227802,118697988,122546185
"06000","California",5494405,5078934,4387152,3440813,3276354,3665944,4108634,4924301,5233067,5190461,5364362,5949822,7522670,10347944,13704031,14967541,15588877,16607451,17104898,18180455,18503349,20678634,24007508,26676487,28602210,29480656,32405734,35466051,38114338,40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,957671894,1020864222,1124844038,1160964629,1182174837,1242098548,1335871248,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1986025976,2133664158,2212691221,2303870496
"08000","Colorado",635288,596454,498097,379940,378119,399173,479858,590209,589259,564357,581245,619492,735820,1038255,1228025,1221172,1349989,1473239,1696758,1865969,1897217,2078836,2471192,2666223,2693070,2773107,3018631,3331238,3656802,3744005,4019322,4302589,4633818,4886249,5117264,5413181,5780431,6219573,6707143,7449409,8362617,9447721,10654052,12056548,13774616,15431087,17007525,18711069,20872126,24076949,27639927,31667476,36459220,39984337,42968979,46898660,49560424,51512722,53462768,56574733,61209049,64865685,68711303,74732485,80953444,87221703,94817972,102272385,110052113,122141316,132118052,147226744,154592304,156288493,159102588,164456627,176129181,189492643,201743269,208608111,198082468,201569924,219860916,234005901,246648165,267225467,282665204,288103337,300006049
"09000","Connecticut",1640024,1494293,1312590,1026232,969366,1090354,1190750,1361909,1458869,1311754,1436330,1589203,2029372,2587325,2911680,2921230,2837079,3060592,3390306,3504895,3414883,3862330,4437134,4850281,5259471,5362905,5778919,6315039,6733835,6527864,6974994,7266881,7693260,8218293,8675920,9318293,10018325,11007189,12063735,12816784,14693141,15678607,16511886,17800682,19365980,21132528,22706406,24501978,27001855,30063404,33793836,38457972,43173687,46616812,49858707,55856174,59950829,64560716,70594722,77854455,84525768,86968737,87599501,94263265,97514376,100067779,105446951,110588370,117944101,127447466,134862911,147686418,155411804,155702576,158426538,166799800,176139627,190614991,204296045,217101744,215234464,222404940,229211506,233710888,230614799,239069549,244940968,247886635,251607948
"10000","Delaware",243300,204960,187585,144734,140270,161668,177753,220417,242467,205682,238411,278904,325034,368251,418722,436880,443560,473835,513099,525480,571135,669777,720012,773312,830174,861395,994216,1146463,1154808,1187445,1240584,1302373,1344573,1427126,1528141,1652820,1815568,1910996,2035756,2220336,2445633,2606227,2852424,3133305,3467373,3755784,4049435,4413098,4749267,5211883,5722077,6428975,7076416,7625571,8163545,8995632,9806074,10431043,11269736,12318653,13716907,14403323,15238119,15927657,16547403,17201929,18222617,19495317,20362927,22627811,24409278,27074544,29773066,30513129,31236735,32401002,33357539,35524883,36468376,36974073,36843966,36971906,39687435,39953950,40565882,42175123,44438426,45574410,47255723
"11000","District of Columbia",639233,641296,631596,567731,499867,546948,626780,718895,745520,728246,766035,842141,971075,1246821,1447518,1439168,1516705,1631873,1640576,1786172,1851892,1959271,2060768,2167693,2104071,2070126,2053501,2148789,2235140,2283800,2351421,2379382,2502266,2691249,2860578,3034510,3269109,3409074,3647808,3829372,3724835,4129474,4597223,4990553,5251389,5697134,6186537,6550200,7032458,7490915,7905250,8355120,8971160,9567530,9977198,10899046,11548191,12133514,12781025,14041999,14970581,15575579,16272212,17188128,17910334,18319858,18434325,19195399,20209086,21456211,22342023,24542346,25709919,26107920,26408223,28989462,30551489,32542965,34651082,36034466,35532577,37436702,40811859,42309871,43195599,46157065,49671007,51842801,53426123
"12000","Florida",749494,687690,592370,482112,448159,551596,610473,748592,838862,825084,920847,1017727,1285775,1832862,2639713,2934732,3055164,2970083,3037915,3185440,3315822,3785477,4287519,4850615,5407556,5696503,6514925,7551094,8355898,9080435,10006318,10479655,11106051,11986123,12880384,14111984,15452114,16977969,18785941,21611770,25165121,28474028,31975467,36785616,42791356,48155185,52615177,57334261,64182990,74169866,85170098,100174719,115826766,125266195,139241897,154951730,170340970,184230468,199396960,218709966,244145082,260093568,270301132,286472913,304269718,320445032,344347697,366382132,388030818,419558498,441185618,477315998,503630546,522698930,546581820,593212601,647093731,703750490,730814302,734691254,691355724,728063852,773315948,793103892,798885890,856491910,919957986,947207472,983294332
"13000","Georgia",995413,881556,741667,578546,595313,714949,789623,893459,947972,891441,961081,1053207,1376240,1904455,2430791,2692792,2775721,2792797,2931390,3258984,3279292,3772678,4395508,4753832,4888897,4886104,5385323,5767024,5977944,6235156,6643742,6948546,7250291,7793948,8474340,9180245,10132571,11174136,12140274,13400376,14943824,16272040,17970425,20160391,22772857,24985794,27002936,29996838,33159873,37625620,42114161,46930712,53090574,57498742,63100546,71482946,78389015,85539433,92052320,100335299,108165689,115537974,121117611,131312440,139467777,150306669,162222883,175284284,186659726,204789162,218400986,236451759,248516259,254655443,264265063,279349989,296929387,317384082,332074930,335573645,330586251,336504092,359778107,365480928,371155912,394706562,418382680,434677178,451280709
