"Total personal consumption expenditures (PCE) by state (millions of dollars)"
"Levels" 
"Bureau of Economic Analysis" 
""
"Fips","Area","Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"00000","United States","1","Personal consumption expenditures",5557762,5899792,6303893,6789177,7099701,7380019,7760899,8255300,8789586,9299424,9745473,10008303,9840449,10196850,10682155,11044056,11355529,11858228,12327828,12816386
"00000","United States","2","  Goods",2003806,2105478,2283640,2449635,2521834,2594547,2716926,2895537,3075755,3231229,3356541,3370357,3191925,3357470,3589317,3732508,3828877,3965012,4028728,4117111
"00000","United States","3","    Durable goods",715530,779295,855570,912571,941515,985367,1017526,1079823,1127231,1156115,1184633,1102283,1023319,1070692,1125327,1191860,1241693,1296383,1367137,1411006
"00000","United States","4","      Motor vehicles and parts",293083,320205,350730,363227,383289,401347,401518,409312,409954,394950,400573,339630,317058,341955,363458,395763,416132,441874,472169,480792
"00000","United States","5","      Furnishings and durable household equipment",160491,173579,191185,208106,214940,225868,235161,254311,271273,283597,283458,268714,244311,250417,260672,271383,281557,294270,311516,325154
"00000","United States","6","      Recreational goods and vehicles",174632,191360,210922,230858,234934,244772,259193,284088,305023,324101,335780,329331,303775,312735,320981,336605,348100,357404,372392,385474
"00000","United States","7","      Other durable goods",87324,94151,102733,110380,108352,113380,121654,132112,140981,153467,164822,164608,158175,165585,180216,188109,195904,202835,211060,219586
"00000","United States","8","    Nondurable goods",1288276,1326183,1428070,1537064,1580319,1609180,1699400,1815714,1948524,2075114,2171908,2268074,2168606,2286778,2463990,2540648,2587184,2668629,2661591,2706105
"00000","United States","9","      Food and beverages purchased for off-premises consumption",474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,829146,848789,857547,884403,898957,915074
"00000","United States","10","      Clothing and footwear",247496,257805,271097,280832,277868,278836,285347,297485,310659,320213,323692,319506,306498,320558,338946,354287,363625,375954,385461,393654
"00000","United States","11","      Gasoline and other energy goods",147662,132355,146545,184516,177985,167900,196412,232733,283770,319650,345546,389148,284500,333415,409558,416885,412161,397788,305138,273722
"00000","United States","12","      Other nondurable goods",418342,448586,494898,531137,560463,587392,618060,652892,685878,734991,765339,786536,807650,843906,886340,920687,953851,1010484,1072035,1123655
"00000","United States","13","  Services",3553956,3794314,4020253,4339542,4577867,4785472,5043973,5359763,5713831,6068195,6388932,6637946,6648524,6839380,7092838,7311548,7526652,7893216,8299100,8699275
"00000","United States","14","    Household consumption expenditures (for services)",3448368,3670507,3882024,4181501,4398785,4587130,4838461,5153391,5503563,5829010,6140152,6355802,6372507,6564030,6817839,7018678,7221801,7579623,7969655,8340423
"00000","United States","15","    Housing and utilities",1009822,1065472,1123133,1198556,1287492,1333584,1394121,1469083,1583621,1682374,1758184,1839073,1880993,1908992,1959856,1995376,2054235,2143466,2235414,2331526
"00000","United States","16","    Health care",790949,832046,863590,918425,996564,1082873,1154646,1240115,1322285,1394226,1481787,1556486,1627380,1690701,1764711,1835856,1870905,1949934,2061247,2163744
"00000","United States","17","    Transportation services",214308,227631,244091,263548,264704,258159,265464,276562,289385,302056,312216,311715,289694,292922,308124,319486,334511,357455,374249,392459
"00000","United States","18","    Recreation services",208318,220205,238056,254392,262290,271404,289178,312103,328899,351945,375845,384491,375999,385051,400558,419776,434188,452503,470992,492637
"00000","United States","19","    Food services and accommodations",343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,649504,685129,710827,754096,808152,849211
"00000","United States","20","    Financial services and insurance",429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,789303,830742,888435,947202,984748
"00000","United States","21","    Other services",452299,496040,523700,571514,615250,642215,684683,723757,759098,807949,847995,880088,879151,905415,939287,973752,986393,1033734,1072399,1126098
"00000","United States","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,292870,304851,313593,329445,358852
"00000","United States","23","  Gross output of nonprofit institutions",502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1139563,1192997,1229654,1274635,1339190,1411338
"00000","United States","24","  Less: Receipts from sales of goods and services by nonprofit institutions",397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,864564,900127,924803,961042,1009745,1052486
"Legend / Footnotes:"
"Note-- All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates for years 2010-2016 available as of December 2016. Per capita values are computed from unrounded data."
"Last updated: October 4, 2017; new PCE by state statistics for 2016, and revised statistics for 2014-2015. Per capita PCE was revised 2010-2015."
